batch_number,report_year,company_name,apiary_number,location,gross_weight_kg,drum_weight_kg,net_weight_kg,beshara_kg,production_kg,num_production_hives,production_per_hive_kg,num_hive_supers,harvest_date,efficiency_ratio,waste_percentage,extraction_date
batch_number,report_year,company_name,apiary_number,location,gross_weight_kg,drum_weight_kg,net_weight_kg,beshara_kg,production_kg,num_production_hives,production_per_hive_kg,num_hive_supers,harvest_date,efficiency_ratio,waste_percentage,extraction_date
HNY7171,2024,MANAHIL LLC,24 - Hatta,Hatta,24.0,509.5,22.0,487.5,2.7,484.8,108.0,4.49,2023-11-06,490.90909090909093,2031.25,2025-05-28
HNY7171,2024,MANAHIL LLC,90 - Taweeh,Taweeh,90.0,401.6,27.5,374.1,2.9,371.2,105.0,3.54,2024-02-06,381.8181818181818,415.66666666666674,2025-05-28
HNY7171,2024,MANAHIL LLC,21 - Masafi,Masafi,21.0,245.8,27.2,218.6,2.8,215.8,92.0,2.35,2024-03-02,338.2352941176471,1040.952380952381,2025-05-28
HNY7171,2024,MANAHIL LLC,85 - Sharjah,Sharjah,85.0,502.4,33.4,469.0,3.1,465.9,108.0,4.31,2024-10-24,323.3532934131737,551.7647058823529,2025-05-28
HNY7171,2024,MANAHIL LLC,46 - Kalba,Kalba,46.0,321.2,18.0,303.2,2.8,300.4,81.0,3.71,2023-10-30,450.0,659.1304347826087,2025-05-28
HNY7171,2024,MANAHIL LLC,27 - Al Hajar,Unknown,27.0,274.3,8.1,266.2,3.1,263.1,33.0,7.97,2024-11-25,407.40740740740745,985.9259259259259,2025-05-28
HNY7171,2024,MANAHIL LLC,31 - Ajman,Ajman,31.0,136.7,16.2,120.5,2.7,117.8,24.0,4.91,2025-04-12,148.14814814814815,388.7096774193549,2025-05-28
HNY7171,2024,MANAHIL LLC,12 - Dibba,Dibba,12.0,591.0,30.1,560.9,2.8,558.1,22.0,25.37,2024-05-03,73.08970099667775,4674.166666666667,2025-05-28
HNY7171,2024,MANAHIL LLC,85 - Al Hajar,Unknown,85.0,215.2,17.8,197.4,2.4,195.0,114.0,1.71,2024-08-16,640.4494382022472,232.23529411764704,2025-05-28
HNY7171,2024,MANAHIL LLC,57 - Fujairah,Fujairah,57.0,573.1,9.8,563.3,3.0,560.3,84.0,6.67,2025-03-06,857.1428571428571,988.2456140350877,2025-05-28
HNY7171,2024,MANAHIL LLC,40 - Khor Fakkan,Khor Fakkan,40.0,263.4,11.0,252.4,2.6,249.8,93.0,2.69,2023-06-09,845.4545454545455,631.0,2025-05-28
HNY7171,2024,MANAHIL LLC,47 - Taweeh,Taweeh,47.0,179.6,29.5,150.1,3.1,147.0,96.0,1.53,2025-02-01,325.42372881355936,319.36170212765956,2025-05-28
HNY7171,2024,MANAHIL LLC,16 - Fujairah,Fujairah,16.0,366.9,33.3,333.6,2.5,331.1,46.0,7.2,2024-10-25,138.13813813813815,2085.0,2025-05-28
HNY7171,2024,MANAHIL LLC,41 - Fujairah,Fujairah,41.0,367.2,19.2,348.0,2.8,345.2,36.0,9.59,2023-12-02,187.5,848.7804878048781,2025-05-28
PRD4754,2024,MANAHIL LLC,06 - Dibba,Dibba,6.0,367.2,24.3,342.9,2.6,340.3,85.0,4.0,2025-02-11,349.79423868312756,5715.0,2025-05-28
PRD4754,2024,MANAHIL LLC,67 - Umm Al Quwain,Umm Al Quwain,67.0,602.1,22.2,579.9,2.8,577.1,42.0,13.74,2025-02-25,189.1891891891892,865.5223880597015,2025-05-28
PRD4754,2024,MANAHIL LLC,76 - Dibba,Dibba,76.0,536.3,27.2,509.1,2.6,506.5,84.0,6.03,2024-01-14,308.8235294117647,669.8684210526317,2025-05-28
PRD4754,2024,MANAHIL LLC,96 - Al Hajar,Unknown,96.0,453.8,17.0,436.8,2.9,433.9,104.0,4.17,2023-10-21,611.7647058823529,455.0,2025-05-28
PRD4754,2024,MANAHIL LLC,75 - Fujairah,Fujairah,75.0,377.7,21.6,356.1,2.8,353.3,81.0,4.36,2024-01-23,374.99999999999994,474.8,2025-05-28
PRD4754,2024,MANAHIL LLC,61 - Hatta,Hatta,61.0,169.6,11.5,158.1,2.8,155.3,31.0,5.01,2025-04-19,269.5652173913044,259.18032786885243,2025-05-28
PRD4754,2024,MANAHIL LLC,14 - Umm Al Quwain,Umm Al Quwain,14.0,410.3,8.3,402.0,2.7,399.3,102.0,3.91,2025-01-14,1228.9156626506021,2871.4285714285716,2025-05-28
PRD4754,2024,MANAHIL LLC,54 - Umm Al Quwain,Umm Al Quwain,54.0,191.2,33.0,158.2,2.6,155.6,94.0,1.66,2023-06-23,284.8484848484849,292.96296296296293,2025-05-28
PRD4754,2024,MANAHIL LLC,68 - Masafi,Masafi,68.0,465.0,20.2,444.8,3.1,441.7,71.0,6.22,2023-09-02,351.48514851485146,654.1176470588235,2025-05-28
PRD4754,2024,MANAHIL LLC,97 - Kalba,Kalba,97.0,605.8,17.6,588.2,3.0,585.2,22.0,26.6,2025-01-11,125.0,606.3917525773196,2025-05-28
PRD4754,2024,MANAHIL LLC,04 - Ras Al Khaimah,Ras Al Khaimah,4.0,83.4,26.9,56.5,2.5,54.0,106.0,0.51,2025-04-04,394.0520446096655,1412.5,2025-05-28
PRD4754,2024,MANAHIL LLC,93 - Ajman,Ajman,93.0,369.0,7.0,362.0,2.9,359.1,118.0,3.04,2023-10-20,1685.7142857142858,389.247311827957,2025-05-28
PRD4754,2024,MANAHIL LLC,89 - Sharjah,Sharjah,89.0,614.6,19.3,595.3,2.8,592.5,88.0,6.73,2024-05-19,455.95854922279796,668.876404494382,2025-05-28
PRD4754,2024,MANAHIL LLC,29 - Kalba,Kalba,29.0,338.3,14.0,324.3,3.1,321.2,107.0,3.0,2024-12-25,764.2857142857143,1118.2758620689656,2025-05-28
API7873,2024,MANAHIL LLC,45 - Ajman,Ajman,45.0,622.9,10.7,612.2,2.5,609.7,73.0,8.35,2024-12-30,682.2429906542056,1360.4444444444446,2025-05-28
API7873,2024,MANAHIL LLC,71 - Ajman,Ajman,71.0,345.1,27.1,318.0,2.6,315.4,17.0,18.55,2024-04-07,62.73062730627306,447.887323943662,2025-05-28
API7873,2024,MANAHIL LLC,08 - Sharjah,Sharjah,8.0,403.6,17.3,386.3,2.5,383.8,53.0,7.24,2024-05-20,306.35838150289015,4828.75,2025-05-28
API7873,2024,MANAHIL LLC,71 - Fujairah,Fujairah,71.0,435.4,30.9,404.5,3.0,401.5,55.0,7.3,2025-05-20,177.99352750809064,569.7183098591549,2025-05-28
API7873,2024,MANAHIL LLC,36 - Dubai,Dubai,36.0,568.4,9.7,558.7,2.8,555.9,82.0,6.78,2024-02-07,845.360824742268,1551.9444444444446,2025-05-28
API7873,2024,MANAHIL LLC,63 - Ras Al Khaimah,Ras Al Khaimah,63.0,132.9,24.5,108.4,3.1,105.3,50.0,2.11,2024-08-21,204.08163265306123,172.06349206349208,2025-05-28
API7873,2024,MANAHIL LLC,82 - Al farfar,Al farfar,82.0,310.9,13.1,297.8,3.1,294.7,90.0,3.27,2023-08-26,687.0229007633588,363.1707317073171,2025-05-28
API7873,2024,MANAHIL LLC,51 - Dubai,Dubai,51.0,614.4,24.7,589.7,3.0,586.7,77.0,7.62,2023-07-16,311.74089068825907,1156.2745098039218,2025-05-28
API7873,2024,MANAHIL LLC,91 - Hatta,Hatta,91.0,626.3,32.5,593.8,2.8,591.0,71.0,8.32,2024-09-30,218.46153846153845,652.5274725274725,2025-05-28
API7873,2024,MANAHIL LLC,13 - Umm Al Quwain,Umm Al Quwain,13.0,500.7,31.8,468.9,2.4,466.5,40.0,11.66,2024-05-09,125.78616352201257,3606.923076923077,2025-05-28
API7873,2024,MANAHIL LLC,42 - Sharjah,Sharjah,42.0,124.7,24.5,100.2,2.9,97.3,112.0,0.87,2023-08-02,457.1428571428571,238.57142857142856,2025-05-28
API7873,2024,MANAHIL LLC,46 - Al Hajar,Unknown,46.0,261.5,15.5,246.0,3.1,242.9,73.0,3.33,2025-05-04,470.9677419354839,534.7826086956521,2025-05-28
PRD9872,2024,MANAHIL LLC,98 - Sharjah,Sharjah,98.0,90.7,7.1,83.6,2.8,80.8,44.0,1.84,2024-12-30,619.7183098591549,85.30612244897958,2025-05-28
PRD9872,2024,MANAHIL LLC,97 - Ras Al Khaimah,Ras Al Khaimah,97.0,578.3,15.9,562.4,2.6,559.8,44.0,12.72,2024-12-26,276.7295597484277,579.7938144329896,2025-05-28
PRD9872,2024,MANAHIL LLC,24 - Abu Dhabi,Abu Dhabi,24.0,492.9,5.2,487.7,2.7,485.0,107.0,4.53,2025-03-10,2057.6923076923076,2032.0833333333333,2025-05-28
PRD9872,2024,MANAHIL LLC,10 - Abu Dhabi,Abu Dhabi,10.0,366.4,17.6,348.8,2.5,346.3,87.0,3.98,2024-08-19,494.31818181818176,3488.0000000000005,2025-05-28
PRD9872,2024,MANAHIL LLC,54 - Masafi,Masafi,54.0,250.2,28.7,221.5,2.7,218.8,120.0,1.82,2024-06-21,418.11846689895475,410.1851851851852,2025-05-28
PRD9872,2024,MANAHIL LLC,19 - Taweeh,Taweeh,19.0,254.7,21.9,232.8,3.1,229.7,56.0,4.1,2023-12-28,255.70776255707764,1225.2631578947369,2025-05-28
PRD9872,2024,MANAHIL LLC,86 - Dubai,Dubai,86.0,366.2,20.7,345.5,2.7,342.8,101.0,3.39,2023-09-27,487.9227053140097,401.7441860465116,2025-05-28
PRD9872,2024,MANAHIL LLC,67 - Dubai,Dubai,67.0,487.4,24.2,463.2,2.6,460.6,93.0,4.95,2025-05-06,384.2975206611571,691.3432835820895,2025-05-28
PRD9872,2024,MANAHIL LLC,06 - Ajman,Ajman,6.0,223.2,31.8,191.4,2.4,189.0,17.0,11.12,2023-08-17,53.459119496855344,3190.0,2025-05-28
PRD9872,2024,MANAHIL LLC,36 - Dibba,Dibba,36.0,128.4,30.5,97.9,3.0,94.9,101.0,0.94,2024-07-23,331.1475409836066,271.94444444444446,2025-05-28
PRD9872,2024,MANAHIL LLC,81 - Fujairah,Fujairah,81.0,246.3,22.8,223.5,2.4,221.1,119.0,1.86,2025-04-20,521.9298245614035,275.9259259259259,2025-05-28
PRD9872,2024,MANAHIL LLC,06 - Hatta,Hatta,6.0,164.8,24.5,140.3,2.4,137.9,95.0,1.45,2023-10-03,387.7551020408163,2338.3333333333335,2025-05-28
PRD9872,2024,MANAHIL LLC,75 - Al farfar,Al farfar,75.0,635.1,7.3,627.8,3.1,624.7,115.0,5.43,2024-12-19,1575.3424657534247,837.0666666666667,2025-05-28
PRD9872,2024,MANAHIL LLC,73 - Taweeh,Taweeh,73.0,537.2,7.3,529.9,2.6,527.3,51.0,10.34,2024-10-30,698.6301369863014,725.8904109589041,2025-05-28
HNY8419,2024,MANAHIL LLC,27 - Hatta,Hatta,27.0,548.5,11.2,537.3,3.1,534.2,66.0,8.09,2024-01-06,589.2857142857143,1989.9999999999998,2025-05-28
HNY8419,2024,MANAHIL LLC,67 - Kalba,Kalba,67.0,604.2,30.2,574.0,2.6,571.4,72.0,7.94,2023-06-12,238.41059602649008,856.7164179104477,2025-05-28
HNY8419,2024,MANAHIL LLC,86 - Taweeh,Taweeh,86.0,231.7,34.3,197.4,2.8,194.6,82.0,2.37,2023-08-08,239.06705539358603,229.53488372093025,2025-05-28
HNY8419,2024,MANAHIL LLC,22 - Al Hajar,Unknown,22.0,372.0,34.5,337.5,3.0,334.5,104.0,3.22,2023-11-09,301.4492753623189,1534.0909090909092,2025-05-28
HNY8419,2024,MANAHIL LLC,20 - Dubai,Dubai,20.0,253.6,7.6,246.0,3.0,243.0,110.0,2.21,2025-01-02,1447.3684210526317,1230.0,2025-05-28
HNY8419,2024,MANAHIL LLC,97 - Abu Dhabi,Abu Dhabi,97.0,363.8,12.5,351.3,3.0,348.3,98.0,3.55,2023-06-16,784.0,362.16494845360825,2025-05-28
HNY8419,2024,MANAHIL LLC,09 - Khor Fakkan,Khor Fakkan,9.0,427.0,33.5,393.5,2.5,391.0,15.0,26.07,2025-03-08,44.776119402985074,4372.222222222222,2025-05-28
HNY8419,2024,MANAHIL LLC,94 - Hatta,Hatta,94.0,376.7,8.5,368.2,3.0,365.2,107.0,3.41,2023-11-28,1258.8235294117646,391.70212765957444,2025-05-28
HNY8419,2024,MANAHIL LLC,82 - Umm Al Quwain,Umm Al Quwain,82.0,599.0,18.9,580.1,3.1,577.0,27.0,21.37,2024-12-26,142.85714285714286,707.4390243902438,2025-05-28
HNY8419,2024,MANAHIL LLC,18 - Al Hajar,Unknown,18.0,439.8,10.3,429.5,2.8,426.7,81.0,5.27,2023-06-01,786.4077669902912,2386.111111111111,2025-05-28
HNY8419,2024,MANAHIL LLC,75 - Abu Dhabi,Abu Dhabi,75.0,461.9,33.9,428.0,2.6,425.4,15.0,28.36,2023-11-23,44.24778761061947,570.6666666666667,2025-05-28
HNY8419,2024,MANAHIL LLC,08 - Khor Fakkan,Khor Fakkan,8.0,374.9,15.3,359.6,3.1,356.5,21.0,16.98,2024-01-03,137.2549019607843,4495.0,2025-05-28
HNY8419,2024,MANAHIL LLC,11 - Khor Fakkan,Khor Fakkan,11.0,425.1,5.9,419.2,2.4,416.8,114.0,3.66,2023-09-05,1932.2033898305083,3810.909090909091,2025-05-28
HNY8419,2024,MANAHIL LLC,80 - Taweeh,Taweeh,80.0,559.4,34.9,524.5,2.8,521.7,84.0,6.21,2023-09-12,240.68767908309457,655.625,2025-05-28
HNY8419,2024,MANAHIL LLC,60 - Ras Al Khaimah,Ras Al Khaimah,60.0,507.7,22.6,485.1,2.6,482.5,47.0,10.27,2023-11-30,207.9646017699115,808.5000000000001,2025-05-28
PRD1348,2024,MANAHIL LLC,90 - Masafi,Masafi,90.0,424.9,27.7,397.2,2.6,394.6,78.0,5.06,2024-05-02,281.5884476534296,441.3333333333333,2025-05-28
PRD1348,2024,MANAHIL LLC,13 - Masafi,Masafi,13.0,208.7,13.2,195.5,2.5,193.0,102.0,1.89,2023-09-23,772.7272727272727,1503.8461538461538,2025-05-28
PRD1348,2024,MANAHIL LLC,26 - Sharjah,Sharjah,26.0,253.0,15.7,237.3,2.4,234.9,42.0,5.59,2023-07-13,267.515923566879,912.6923076923077,2025-05-28
PRD1348,2024,MANAHIL LLC,32 - Taweeh,Taweeh,32.0,221.9,6.1,215.8,2.4,213.4,109.0,1.96,2024-10-31,1786.8852459016396,674.375,2025-05-28
PRD1348,2024,MANAHIL LLC,87 - Ajman,Ajman,87.0,371.8,13.8,358.0,2.4,355.6,97.0,3.67,2024-10-29,702.8985507246376,411.49425287356325,2025-05-28
PRD1348,2024,MANAHIL LLC,03 - Masafi,Masafi,3.0,467.7,30.8,436.9,2.4,434.5,98.0,4.43,2023-10-04,318.1818181818182,14563.333333333332,2025-05-28
PRD1348,2024,MANAHIL LLC,73 - Kalba,Kalba,73.0,224.8,27.7,197.1,2.7,194.4,100.0,1.94,2025-02-02,361.01083032490976,270.0,2025-05-28
PRD1348,2024,MANAHIL LLC,54 - Hatta,Hatta,54.0,541.3,12.8,528.5,2.9,525.6,81.0,6.49,2024-07-26,632.8125,978.7037037037036,2025-05-28
PRD1348,2024,MANAHIL LLC,68 - Al farfar,Al farfar,68.0,540.2,25.1,515.1,2.5,512.6,63.0,8.14,2023-08-05,250.996015936255,757.5,2025-05-28
PRD1348,2024,MANAHIL LLC,55 - Taweeh,Taweeh,55.0,270.1,16.0,254.1,3.1,251.0,54.0,4.65,2023-11-04,337.5,462.0,2025-05-28
PRD1348,2024,MANAHIL LLC,54 - Abu Dhabi,Abu Dhabi,54.0,522.3,33.5,488.8,2.7,486.1,111.0,4.38,2024-01-30,331.34328358208955,905.1851851851852,2025-05-28
PRD1348,2024,MANAHIL LLC,61 - Umm Al Quwain,Umm Al Quwain,61.0,394.8,9.2,385.6,2.6,383.0,120.0,3.19,2025-04-01,1304.3478260869567,632.1311475409836,2025-05-28
PRD1348,2024,MANAHIL LLC,80 - Khor Fakkan,Khor Fakkan,80.0,358.8,21.3,337.5,2.9,334.6,17.0,19.68,2024-09-05,79.81220657276995,421.875,2025-05-28
PRD1348,2024,MANAHIL LLC,48 - Al farfar,Al farfar,48.0,421.8,11.6,410.2,2.7,407.5,93.0,4.38,2023-08-24,801.7241379310345,854.5833333333333,2025-05-28
SDR6643,2024,MANAHIL LLC,88 - Khor Fakkan,Khor Fakkan,88.0,463.7,27.4,436.3,2.4,433.9,70.0,6.2,2024-01-12,255.47445255474454,495.79545454545456,2025-05-28
SDR6643,2024,MANAHIL LLC,66 - Abu Dhabi,Abu Dhabi,66.0,369.0,9.8,359.2,3.0,356.2,64.0,5.57,2024-10-31,653.0612244897958,544.2424242424242,2025-05-28
SDR6643,2024,MANAHIL LLC,55 - Ajman,Ajman,55.0,486.9,19.4,467.5,2.7,464.8,19.0,24.46,2024-01-16,97.93814432989691,850.0,2025-05-28
SDR6643,2024,MANAHIL LLC,80 - Ras Al Khaimah,Ras Al Khaimah,80.0,121.2,18.6,102.6,2.6,100.0,35.0,2.86,2024-08-06,188.17204301075267,128.25,2025-05-28
SDR6643,2024,MANAHIL LLC,87 - Umm Al Quwain,Umm Al Quwain,87.0,196.5,27.3,169.2,2.9,166.3,62.0,2.68,2023-09-04,227.1062271062271,194.48275862068965,2025-05-28
SDR6643,2024,MANAHIL LLC,73 - Dubai,Dubai,73.0,328.8,18.5,310.3,2.9,307.4,70.0,4.39,2023-06-11,378.3783783783784,425.0684931506849,2025-05-28
SDR6643,2024,MANAHIL LLC,35 - Masafi,Masafi,35.0,647.7,32.2,615.5,3.1,612.4,107.0,5.72,2025-05-19,332.2981366459627,1758.5714285714284,2025-05-28
SDR6643,2024,MANAHIL LLC,55 - Dibba,Dibba,55.0,376.7,15.5,361.2,3.1,358.1,23.0,15.57,2024-05-23,148.38709677419354,656.7272727272727,2025-05-28
SDR6643,2024,MANAHIL LLC,90 - Al farfar,Al farfar,90.0,614.2,34.2,580.0,3.1,576.9,113.0,5.11,2024-05-20,330.40935672514615,644.4444444444445,2025-05-28
SDR6643,2024,MANAHIL LLC,87 - Kalba,Kalba,87.0,384.8,9.5,375.3,3.0,372.3,62.0,6.0,2025-01-23,652.6315789473684,431.3793103448276,2025-05-28
SDR6643,2024,MANAHIL LLC,74 - Masafi,Masafi,74.0,318.3,6.8,311.5,2.9,308.6,20.0,15.43,2024-09-16,294.11764705882354,420.94594594594594,2025-05-28
SDR6643,2024,MANAHIL LLC,30 - Al farfar,Al farfar,30.0,379.2,10.5,368.7,2.9,365.8,75.0,4.88,2023-06-01,714.2857142857143,1229.0,2025-05-28
SDR6674,2024,MANAHIL LLC,59 - Umm Al Quwain,Umm Al Quwain,59.0,493.6,12.1,481.5,2.9,478.6,46.0,10.4,2024-02-11,380.1652892561984,816.1016949152541,2025-05-28
SDR6674,2024,MANAHIL LLC,28 - Abu Dhabi,Abu Dhabi,28.0,352.3,21.3,331.0,2.4,328.6,58.0,5.67,2024-03-05,272.30046948356807,1182.142857142857,2025-05-28
SDR6674,2024,MANAHIL LLC,54 - Fujairah,Fujairah,54.0,585.8,20.6,565.2,2.4,562.8,120.0,4.69,2024-01-26,582.5242718446601,1046.6666666666667,2025-05-28
SDR6674,2024,MANAHIL LLC,25 - Ras Al Khaimah,Ras Al Khaimah,25.0,534.2,17.6,516.6,3.0,513.6,86.0,5.97,2024-01-16,488.63636363636357,2066.4,2025-05-28
SDR6674,2024,MANAHIL LLC,02 - Ajman,Ajman,2.0,347.9,22.1,325.8,2.4,323.4,26.0,12.44,2025-03-21,117.64705882352939,16290.0,2025-05-28
SDR6674,2024,MANAHIL LLC,06 - Al Hajar,Unknown,6.0,315.4,25.0,290.4,2.5,287.9,88.0,3.27,2024-05-31,352.0,4840.0,2025-05-28
SDR6674,2024,MANAHIL LLC,80 - Masafi,Masafi,80.0,146.1,9.7,136.4,2.5,133.9,77.0,1.74,2024-05-27,793.8144329896908,170.5,2025-05-28
SDR6674,2024,MANAHIL LLC,56 - Ras Al Khaimah,Ras Al Khaimah,56.0,200.2,14.0,186.2,3.0,183.2,109.0,1.68,2023-09-23,778.5714285714286,332.5,2025-05-28
SDR6674,2024,MANAHIL LLC,89 - Dubai,Dubai,89.0,540.9,6.7,534.2,2.4,531.8,88.0,6.04,2023-08-29,1313.4328358208954,600.2247191011237,2025-05-28
SDR6674,2024,MANAHIL LLC,60 - Al farfar,Al farfar,60.0,533.2,12.3,520.9,2.4,518.5,89.0,5.83,2025-05-09,723.5772357723577,868.1666666666666,2025-05-28
SDR6674,2024,MANAHIL LLC,96 - Khor Fakkan,Khor Fakkan,96.0,118.8,20.4,98.4,2.8,95.6,25.0,3.82,2023-11-23,122.54901960784315,102.50000000000001,2025-05-28
SDR6674,2024,MANAHIL LLC,85 - Umm Al Quwain,Umm Al Quwain,85.0,535.2,7.3,527.9,3.0,524.9,87.0,6.03,2024-11-07,1191.7808219178082,621.0588235294117,2025-05-28
API4410,2024,MANAHIL LLC,75 - Kalba,Kalba,75.0,403.7,23.2,380.5,2.9,377.6,66.0,5.72,2025-05-06,284.48275862068965,507.3333333333333,2025-05-28
API4410,2024,MANAHIL LLC,11 - Dubai,Dubai,11.0,181.7,7.9,173.8,2.7,171.1,75.0,2.28,2023-12-14,949.3670886075948,1580.0,2025-05-28
API4410,2024,MANAHIL LLC,07 - Umm Al Quwain,Umm Al Quwain,7.0,82.9,15.0,67.9,2.4,65.5,89.0,0.74,2024-08-19,593.3333333333334,970.0000000000001,2025-05-28
API4410,2024,MANAHIL LLC,23 - Taweeh,Taweeh,23.0,228.7,13.1,215.6,3.0,212.6,57.0,3.73,2024-03-18,435.1145038167939,937.3913043478261,2025-05-28
API4410,2024,MANAHIL LLC,72 - Sharjah,Sharjah,72.0,388.8,31.2,357.6,2.4,355.2,90.0,3.95,2024-08-29,288.46153846153845,496.6666666666667,2025-05-28
API4410,2024,MANAHIL LLC,21 - Sharjah,Sharjah,21.0,313.2,21.2,292.0,3.0,289.0,61.0,4.74,2024-12-15,287.73584905660374,1390.4761904761906,2025-05-28
